[399.157 240.429]	[-0.71589 0.040744 -0.291412]
[426.528 238.418]	[3.43242 -0.046273 -0.394721]
[395.551 229.689]	[-1.35744 -1.20023 -0.289802]
[406.009 226.384]	[0.436304 -1.53063 -0.431872]
[383.488 264.864]	[-3.05683 3.04792 0.011422]
[428.013 254.415]	[3.67206 1.93069 -0.231019]
[400.642 221.264]	[-0.386609 -2.16953 -0.370179]
[445.904 261.412]	[5.42369 2.7055 0.831906]
[412.102 249.669]	[1.43714 1.32572 -0.175614]
[405.803 202.244]	[0.298938 -4.44794 -0.488591]
[405.803 202.244]	[0.215367 -4.36273 -0.513047]
[419.396 218.812]	[2.31045 -2.26445 -0.511534]
[422.769 218.453]	[2.31045 -2.26445 -0.511534]
[408.496 213.215]	[0.116167 -2.83657 -0.468114]
[394.803 205.42]	[-1.51233 -4.21157 -0.3974]
[423.49 192.012]	[2.72692 -5.32375 -0.710323]
[423.49 192.012]	[2.71305 -5.34415 -0.661479]
[410.337 189.212]	[0.744 -5.83428 -0.572436]
[415.729 188.244]	[1.63708 -5.82288 -0.744449]
[389.782 274.283]	[-1.93031 4.22797 0.037253]
[410.016 271.675]	[1.2293 3.90062 -0.084485]
[417.759 268.336]	[2.39207 3.45974 -0.155172]
[408.239 249.901]	[0.752317 1.30689 -0.19666]
[398.116 267.771]	[-0.647102 3.45287 -0.077405]
[413.515 267.299]	[1.65512 3.43404 -0.069649]
[395.587 254.243]	[-1.08377 1.81159 -0.155917]
[392.088 247.851]	[-1.62835 0.985546 -0.167545]
[409.926 253.758]	[1.09473 1.76606 -0.21672]
[384.921 252.377]	[-2.95807 1.62762 -0.028838]
[406.948 210.1]	[5.47697 -4.63119 0.032419]
[433.658 246.386]	[4.33413 0.937296 -0.321876]
[405.964 242.262]	[0.364752 0.384481 -0.299566]
[400.817 243.603]	[-0.35466 0.529711 -0.265804]
[341.924 241.612]	[-0.167479 3.08504 -0.139506]
[411.836 241.167]	[1.34721 0.298652 -0.344091]
[413.596 184.491]	[1.11546 -6.34133 -0.593622]
[413.596 184.491]	[1.16624 -6.33534 -0.600045]
[406.71 196.293]	[0.214607 -5.06681 -0.527804]
[406.71 196.293]	[0.218138 -5.06708 -0.527965]
[410.321 203.79]	[0.794117 -4.06482 -0.531713]
[414.161 198.221]	[5.50143 -4.15353 0.647839]
[405.412 191.715]	[0.080317 -5.64267 -0.547697]
[401.162 190.219]	[-0.868917 -5.89802 -0.470361]
[403.488 273.541]	[0.258909 4.1208 -0.037798]
[382.406 270.761]	[-3.17336 3.84455 0.101625]
[419.264 270.761]	[2.52156 3.70654 -0.113282]
[406.434 270.311]	[0.605983 3.73853 -0.061273]
[403.818 263.6]	[0.229079 2.9403 -0.115867]
[419.705 262.793]	[2.50548 2.86101 -0.194493]
[416.222 232.463]	[1.92481 -0.649413 -0.377038]
[423.513 232.209]	[2.99498 -0.692449 -0.420317]
[416.102 225.62]	[1.89684 -1.51418 -0.475784]
[395.134 210.638]	[-2.73096 -2.01845 -0.297554]
[411.982 205.941]	[5.47697 -4.63119 0.032419]
[411.982 205.941]	[-2.47355 -5.98969 -0.347846]
[404.752 208.266]	[0.063154 -3.70402 -0.469139]
[392.115 208.458]	[-2.73096 -2.01845 -0.297554]
[396.24 203.508]	[5.48349 -5.33211 0.485429]
[402.169 200.938]	[-0.390876 -4.65494 -0.511809]
[402.169 200.938]	[-0.391754 -4.66594 -0.478671]
[394.413 198.533]	[-1.7007 -4.9696 -0.418849]
