[248.389 272.049]	[-0.71589 0.040744 -0.291412]
[288.949 289.485]	[5.4299 0.762072 0.964524]
[286.195 221.148]	[-0.487758 -4.20904 -0.442005]
[231.474 296.85]	[-3.13452 3.36643 0.220265]
[241.918 263.093]	[-1.35744 -1.20023 -0.289802]
[282.18 269.339]	[3.43242 -0.046273 -0.394721]
[247.696 300.473]	[-1.15775 4.03381 -0.084685]
[284.868 282.176]	[3.67206 1.93069 -0.231019]
[255.907 236.606]	[0.298938 -4.44794 -0.488591]
[277.923 234.338]	[3.10154 -4.61021 -0.628942]
[258.951 259.008]	[0.735808 -1.57056 -0.461326]
[253.659 249.988]	[0.116167 -2.83657 -0.468114]
[240.243 240.255]	[-1.51233 -4.21157 -0.3974]
[274.723 229.124]	[2.72692 -5.32375 -0.710323]
[236.464 309.961]	[-2.63825 5.31739 0.193108]
[222.02 297.622]	[-4.29708 3.28277 0.147821]
[223.436 293.086]	[-4.1137 2.74966 0.140561]
[231.072 284.277]	[-2.95807 1.62762 -0.028838]
[231.147 284.26]	[-2.95807 1.62762 -0.028838]
[255.442 281.931]	[0.023596 1.52225 -0.165223]
[277.742 280.027]	[2.7905 1.55684 -0.189546]
[267.112 279.711]	[1.43714 1.32572 -0.175614]
[272.855 258.899]	[2.34476 -1.36582 -0.463541]
[258.934 252.787]	[0.679403 -2.36562 -0.442402]
[253.662 249.743]	[0.116167 -2.83657 -0.468114]
[248.289 237.965]	[-0.484835 -4.32573 -0.397749]
[248.289 237.965]	[-0.487758 -4.20904 -0.442005]
[250.994 228.099]	[5.42698 -4.75243 1.17273]
[253.855 232.034]	[0.214607 -5.06681 -0.527804]
[253.855 232.034]	[5.47522 -4.67864 0.862146]
[260.402 221.241]	[1.10428 -6.33604 -0.531428]
[240.688 302.06]	[-1.93031 4.22797 0.037253]
[231.13 300.043]	[-3.17336 3.84455 0.101625]
[267.621 284.901]	[1.50995 2.02315 -0.154495]
[251.232 296.318]	[-0.647102 3.45287 -0.077405]
[276.37 289.862]	[2.50548 2.86101 -0.194493]
[264.446 283.124]	[1.09473 1.76606 -0.21672]
[257.967 273.514]	[0.364752 0.384481 -0.299566]
[249.078 287.821]	[-0.826452 2.24093 -0.157027]
[274.099 287.19]	[2.29192 2.54957 -0.12226]
[274.099 287.19]	[2.32944 2.55066 -0.189702]
[261.679 280.138]	[0.752317 1.30689 -0.19666]
[241.258 279.474]	[-1.62835 0.985546 -0.167545]
[251.638 275.355]	[-0.35466 0.529711 -0.265804]
[272.25 252.89]	[2.31045 -2.26445 -0.511534]
[236.437 264.559]	[-2.1193 -1.16032 -0.258122]
[252.954 242.946]	[0.063154 -3.70402 -0.469139]
[243.525 243.267]	[-1.17553 -3.7863 -0.427928]
[262.041 228.149]	[5.47485 -4.22757 1.07891]
[265.898 226.453]	[5.4801 -4.00221 1.24337]
[269.354 221.288]	[2.18905 -6.38911 -0.652042]
[276.671 252.385]	[2.8661 -2.24782 -0.53807]
[266.695 269.59]	[1.50118 -0.150226 -0.371692]
[258.567 299.946]	[0.258909 4.1208 -0.037798]
[265.458 298.07]	[1.2293 3.90062 -0.084485]
[252.186 267.438]	[-0.248584 -0.513884 -0.327985]
[249.707 292.612]	[-0.815722 3.03985 -0.074553]
[238.507 296.607]	[-2.24874 3.42153 0.043967]
[257.834 291.863]	[0.229079 2.9403 -0.115867]
[242.587 294.457]	[-1.6666 3.14936 -0.070153]
[259.928 265.664]	[-5.41913 1.70156 2.65692]
[269.926 264.777]	[1.92481 -0.649413 -0.377038]
[244.735 270.308]	[-1.17 -0.302207 -0.3379]
[276.548 262.19]	[2.78942 -1.02303 -0.439414]
[272.955 263.602]	[2.3478 -0.815668 -0.365785]
[268.88 259.091]	[1.89684 -1.51418 -0.475784]
[233.186 257.643]	[-2.4914 -1.81689 -0.231437]
[271.72 249.877]	[2.24873 -2.6525 -0.499249]
[256.865 244.59]	[5.47697 -4.63119 0.032419]
[265.493 241.487]	[-2.30454 -3.81012 -0.395011]
[262.608 240.704]	[-5.4665 -4.19827 2.02564]
[264.908 238.38]	[-5.4665 -4.19827 2.02564]
[237.947 236.417]	[-1.71527 -4.63721 -0.408421]
[268.879 232.56]	[5.62436 -3.87175 0.66903]
[235.39 226.789]	[-5.33307 -5.71706 1.2382]
[235.39 226.789]	[-0.737315 -4.77931 -0.454785]
[243.217 225.981]	[-0.984384 -5.86202 -0.476265]
[240.143 224.308]	[-5.4739 -5.47857 1.10828]
