[311.284 149.543]	[-0.739722 -3.44403 5.99504]
[308.045 183.531]	[-1.03756 -3.29341 1.54939]
[307.967 183.506]	[-1.04084 -3.28129 1.55261]
[303.564 187.439]	[-1.68854 -3.13961 1.01183]
[307.203 144.447]	[-1.33103 -3.26619 6.61008]
[315.374 182.203]	[0.0591988 -3.54986 1.76847]
[301.457 181.715]	[-1.95935 -2.99542 1.7506]
[316.134 178.61]	[0.275253 -3.44918 2.25414]
[299.414 130.973]	[-2.33747 -2.79463 8.26091]
[304.072 155.484]	[-1.78685 -3.20621 5.15728]
[317.342 184.773]	[0.395254 -3.59329 1.44041]
[303.982 165.372]	[-1.7343 -3.174 3.88542]
[308.641 148.06]	[-1.16185 -3.38023 6.15456]
[302.417 127.713]	[-2.02757 -3.02476 8.69081]
[310.024 131.503]	[-1.01626 -3.41295 8.28866]
[307.712 210.953]	[-1.05257 -3.37651 -2.08145]
[298.17 147.503]	[-2.41317 -2.70262 6.15297]
[310.063 153.892]	[-0.921848 -3.42424 5.41929]
[303.415 213.197]	[-1.58107 -3.10791 -2.39267]
[301.102 185.352]	[-2.02857 -3.0188 1.27255]
[305.232 185.336]	[-1.49706 -3.25034 1.29487]
[300.096 125.223]	[-2.31433 -2.87956 8.9852]
[321.096 195.618]	[2.68709 -1.97021 0.0217482]
[297.952 182.356]	[-2.22364 -2.58944 1.65646]
[296.627 171.828]	[-2.50224 -2.5969 3.01519]
[300.478 136.55]	[-2.25748 -2.93967 7.55155]
[297.478 127.863]	[-2.61363 -2.71281 8.63108]
[302.808 175.305]	[-1.79933 -3.05701 2.59355]
[298.713 153.755]	[-2.35153 -2.76785 5.35344]
[298.687 153.761]	[-2.34835 -2.75896 5.35335]
[300.393 234.208]	[-1.63615 -2.64875 -5.23902]
[287.819 150.098]	[-3.36889 -1.72928 5.78541]
[297.487 181.501]	[-2.39861 -2.69321 1.76088]
[290.708 153.688]	[-3.14691 -2.07152 5.32825]
[290.905 129.328]	[-3.16755 -2.04124 8.43395]
[285.477 173.265]	[-3.44217 -1.41829 2.79503]
[292.463 170.782]	[-2.93006 -2.24274 3.13308]
[290.076 169.9]	[-3.12097 -1.97455 3.24122]
[309.017 159.665]	[-1.17368 -3.52365 4.65101]
[291.649 194.608]	[-2.91676 -2.15594 0.0235141]
[287.842 150.126]	[-3.35789 -1.72083 5.78311]
[300.426 219.447]	[-1.95222 -2.94829 -3.23233]
[297.523 181.331]	[-2.40442 -2.70661 1.78278]
[283.015 128.319]	[-3.82003 -1.20348 8.55123]
[281.597 161.736]	[-3.77861 -0.973761 4.28182]
[279.182 172.451]	[-3.75151 -0.466234 2.8978]
[287.721 166.838]	[-3.31775 -1.71106 3.6318]
[279.452 157.913]	[-3.80832 -0.544565 4.78859]
[290.506 124.746]	[-3.16346 -1.93728 9.02185]
[287.959 194.944]	[-3.19739 -1.72427 -0.0343225]
[289.692 157.235]	[-3.19116 -1.92946 4.87416]
[285.136 133.073]	[-3.57755 -1.36406 7.96144]
[288.554 154.66]	[-3.16805 -1.65726 5.21716]
[279.113 172.722]	[-3.77503 -0.481808 2.86088]
[308.257 178.599]	[-1.08797 -3.36823 2.19443]
[289.093 174.788]	[-3.21629 -1.90427 2.60265]
[307.813 139.201]	[-1.25021 -3.27244 7.28976]
[306.912 128.727]	[-1.35197 -3.15843 8.62484]
[314.548 123.245]	[-0.360459 -3.54168 9.40474]
[282.225 175.448]	[-3.64815 -0.994487 2.50471]
[309.628 191.376]	[-0.761032 -3.34324 0.524139]
[278.379 253.289]	[-3.59981 -0.386567 -7.95137]
[278.379 253.289]	[-3.59981 -0.386567 -7.95137]
