[-0.71589 0.040744 -0.291412]	[-7.18963 1.72651 63.5]
[-3.13452 3.36643 0.220265]	[-9.43255 4.54373 65]
[-3.74421 2.05969 0.094876]	[-10.0469 3.46304 64.5]
[-1.15775 4.03381 -0.084685]	[-7.55268 5.19613 65.2]
[3.67206 1.93069 -0.231019]	[-2.79692 3.19457 63.9]
[4.1856 1.61913 -0.161737]	[-2.33714 2.82945 63.9]
[2.38017 -1.44464 -0.431768]	[-4.07481 0.222233 62.6]
[0.116167 -2.83657 -0.468114]	[-6.30976 -0.892106 62.2]
[-1.51233 -4.21157 -0.3974]	[-7.82306 -2.05428 61.7]
[-2.63825 5.31739 0.193108]	[-8.95112 6.30415 65.7]
[-2.14199 4.72459 0.188953]	[-8.4516 5.81392 65.5]
[-4.1137 2.74966 0.140561]	[-10.4043 4.0727 64.8]
[-0.484835 -4.32573 -0.397749]	[-6.88323 -2.27054 61.6]
[-0.487758 -4.20904 -0.442005]	[-6.88323 -2.27054 61.6]
[-2.79226 2.01881 0.006379]	[-9.25681 3.51171 64.5]
[1.43714 1.32572 -0.175614]	[-4.96121 2.74824 64]
[2.7905 1.55684 -0.189546]	[-3.6688 2.89003 63.9]
[-0.370465 -2.1727 -0.338423]	[-6.68646 -0.321936 62.5]
[-0.386609 -2.16953 -0.370179]	[-6.68646 -0.321936 62.5]
[0.679403 -2.36562 -0.442402]	[-5.73998 -0.51733 62.3]
[0.214607 -5.06681 -0.527804]	[-6.19333 -2.91164 61.3]
[0.218138 -5.06708 -0.527965]	[-6.19333 -2.91164 61.3]
[0.080317 -5.64267 -0.547697]	[-6.32444 -3.45972 61.1]
[2.18905 -6.38911 -0.652042]	[-4.32366 -4.04208 60.7]
[1.10428 -6.33604 -0.531428]	[-5.33478 -4.09032 60.7]
[-0.647102 3.45287 -0.077405]	[-7.00529 4.6583 64.8]
[-1.93031 4.22797 0.037253]	[-8.32793 5.33354 65.2]
[1.13116 3.27334 -0.131587]	[-5.28225 4.4671 64.8]
[1.12917 3.29523 -0.115613]	[-5.28225 4.4671 64.8]
[-1.25216 3.02326 -0.038474]	[-7.5836 4.30859 64.6]
[-0.826452 2.24093 -0.157027]	[-7.22653 3.62494 64.4]
[0.229079 2.9403 -0.115867]	[-6.17466 4.20021 64.7]
[1.50995 2.02315 -0.154495]	[-4.95159 3.461 64.2]
[1.09473 1.76606 -0.21672]	[-5.30807 3.16593 64.1]
[0.752317 1.30689 -0.19666]	[-5.50608 2.72839 64]
[0.023596 1.52225 -0.165223]	[-6.37906 2.982 64]
[-1.62835 0.985546 -0.167545]	[-8.08492 2.52837 63.9]
[0.364752 0.384481 -0.299566]	[-6.00256 1.95266 63.5]
[2.3478 -0.815668 -0.365785]	[-4.1316 0.834118 62.8]
[-2.1193 -1.16032 -0.258122]	[-8.47197 0.651122 62.9]
[2.24873 -2.6525 -0.499249]	[-4.15015 -0.838668 62]
[-1.17553 -3.7863 -0.427928]	[-7.64238 -1.8326 61.9]
[0.794117 -4.06482 -0.531713]	[-5.63734 -2.01134 61.6]
[-1.7007 -4.9696 -0.418849]	[-8.12184 -2.94352 61.3]
[1.23092 -5.43901 -0.58897]	[-5.21714 -3.31173 61.1]
[1.62849 -6.36016 -0.581079]	[-4.85682 -4.11908 60.7]
[1.62863 -6.36019 -0.581253]	[-4.85682 -4.11908 60.7]
[-3.8242 3.50618 0.172018]	[-10.098 4.7108 65.1]
[0.258909 4.1208 -0.037798]	[-6.09445 5.21441 65.1]
[1.65512 3.43404 -0.069649]	[-4.76284 4.57715 64.8]
[0.605983 3.73853 -0.061273]	[-5.77339 4.8715 64.8]
[-0.167479 3.08504 -0.139506]	[-6.56277 4.29713 64.7]
[4.33413 0.937296 -0.321876]	[-2.19731 2.33227 63.4]
[2.29192 2.54957 -0.12226]	[-4.17306 3.73907 64.4]
[2.32944 2.55066 -0.189702]	[-4.17306 3.73907 64.4]
[3.66522 0.605987 -0.250124]	[-2.65749 2.10252 63.4]
[1.04153 -0.442234 -0.360009]	[-5.42779 1.21063 63.3]
[2.04366 -0.041851 -0.432542]	[-4.40784 1.5489 63.4]
[2.99498 -0.692449 -0.420317]	[-3.47093 0.924565 62.8]
[-0.248584 -0.513884 -0.327985]	[-6.67641 1.1782 63.3]
[1.92481 -0.649413 -0.377038]	[-4.51139 0.894469 62.9]
[1.92316 -0.65741 -0.378167]	[-4.51139 0.894469 62.9]
[0.715668 -0.648604 -0.335096]	[-5.76535 1.05554 63.1]
[-0.984384 -5.86202 -0.476265]	[-7.35293 -3.62781 60.8]
[-5.33307 -5.71706 1.2382]	[-8.19054 -3.74384 61.1]
[-0.70045 -4.81615 -0.43168]	[-7.13219 -2.62323 61.4]
[-0.737315 -4.77931 -0.454785]	[-7.13219 -2.62323 61.4]
[2.47033 -6.60616 -0.671069]	[-3.98282 -4.32861 60.5]
